check,frame,n,median_len_m,pct_under_200m,pct_p1,boston_share,city,beta_primary,p_primary,beta_aadtfree,p_aadtfree,n_aadtfree,pct_p1_aadtfree,beta,se,p,corridors,p_wcb,ci_lo,ci_hi
frame,primary (AADT in key),37609.0,207.57663111169958,49.05208859581483,10.423037039006621,61.809673216517325,,,,,,,,,,,,,,
frame,AADT-free (D-086),25851.0,741.2313142672981,15.419132722138409,14.765386251982516,38.253839309891305,,,,,,,,,,,,,,
per_city,,,,,,,boston,-0.049551473491148405,8.298191723557503e-05,-0.05144685567673656,0.005892872444278668,9889.0,11.97289918090808,,,,,,,
per_city,,,,,,,charlotte,-0.017788140633563407,0.7567228321068029,-0.002473842438545398,0.9666301768272434,1782.0,8.922558922558922,,,,,,,
per_city,,,,,,,denver,-0.24694688573604476,8.617318989177148e-18,-0.25595803652789445,4.5865824087348407e-23,3423.0,21.998247151621385,,,,,,,
per_city,,,,,,,phoenix,-0.17793470052636864,6.702307107470163e-10,-0.1465676513956387,1.1257709605047531e-08,4293.0,13.720009317493595,,,,,,,
per_city,,,,,,,portland,-0.21804403694581223,9.856508336714589e-15,-0.1830526502325841,2.3375506398622206e-11,3490.0,20.659025787965614,,,,,,,
per_city,,,,,,,wasatch_front,-0.15000948118749993,0.0003922185878037742,-0.11598498270082089,0.0018877376668538929,2974.0,13.819771351714863,,,,,,,
pooled_cityfe,primary (AADT in key),37609.0,,,,,,,,,,,,-0.12451252177651594,0.00969029117058554,8.690054592987869e-38,,,,
corridor_fe,primary (AADT in key),25397.0,,,,,,,,,,,,-0.0537995473463772,0.012317355011781373,1.2551347524661803e-05,1423.0,,,
equal_weight,primary (AADT in key),,,,,,,,,,,,,-0.18131407502636643,,,,0.065,-0.36262815005273286,0.0
pooled_cityfe,AADT-free (D-086),25851.0,,,,,,,,,,,,-0.1351215818672522,0.01131017947643716,6.739251399304628e-33,,,,
corridor_fe,AADT-free (D-086),15280.0,,,,,,,,,,,,-0.04847758499961716,0.011650531662150783,3.1689010843477017e-05,1463.0,,,
equal_weight,AADT-free (D-086),,,,,,,,,,,,,-0.16073504220648605,,,,0.065,-0.3214700844129721,0.0
