check,branch,source,n,beta,se,p,pct,q,skew,kurtosis,spec
adversarial,"primary (revised frame, 400 m floor)",—,18684.0,-0.13625577892473084,0.012676469402163396,6.009180090972355e-27,-12.738059371178212,,,,
adversarial,drop Denver AND Portland (two strongest),alfa/delta,13740.0,-0.09788925140831439,0.0156321318798806,3.799397121813401e-10,-9.325068059649178,,,,
adversarial,Boston alone,alfa/delta,6783.0,-0.04739343198788,0.021717977459372144,0.029093207480196677,-4.62878970797691,,,,
adversarial,segments ≥ 800 m in every city,alfa/delta,9636.0,-0.1814192607198513,0.018987761774013397,1.2413847824678022e-21,-16.59144139452784,,,,
adversarial,drop the three largest cities by n,adversarial,6173.0,-0.18208887603578697,0.022835117559213594,1.5352977713622519e-15,-16.647274347463757,,,,
adversarial,exogenous frame + corridor FE (all cities),alfa/delta,10467.0,-0.05112719508674067,0.012838143077706603,7.267477934846944e-05,-4.984219255874056,,,,
adversarial,exogenous + corridor FE + equal w.,delta,10467.0,-0.05000851789820862,0.013085054074999158,0.0001398735093047776,,,,,
adversarial,"negative binomial, raw AADT",delta,18684.0,-0.10866187233950897,0.04039335106063671,0.007143210168276079,,,,,
quantile_pooled,,,,-0.2327570078805934,0.026465843904757307,1.5579235622295715e-18,,0.1,,,
quantile_pooled,,,,-0.1405712962094725,0.015354815520108653,5.990952323692288e-20,,0.25,,,
quantile_pooled,,,,-0.08101199540847404,0.01184810954051752,8.305295653152545e-12,,0.5,,,
quantile_pooled,,,,-0.09656107840297068,0.012842973482048704,5.787195168176591e-14,,0.75,,,
quantile_pooled,,,,-0.0852999655531903,0.014452779907223736,3.653856334775959e-09,,0.9,,,
robust,,,,-0.12568591278369673,0.011636645830764434,3.409529891298959e-27,,,,,
residuals,,,,,,,,,-0.8857180220843255,6.671826289050852,
ablation_matched,,,,-0.13625577892473084,0.012676469402163396,6.009180090972355e-27,,,,,segment-level P1 (0→1)
ablation_matched,,,,-0.10667518973397828,0.01905123550380847,2.1511439762409708e-08,,,,,"cell-rate, dichotomised at the same prevalence (0→1)"
ablation_matched,,,,-0.12638632756678184,,2.306369141853055e-21,,,,,"both, segment P1"
ablation_matched,,,,-0.0482480164659177,,0.015843633817800015,,,,,"both, cell rate"
frame_comparison,"previous primary (AADT in key, no floor)",,37609.0,-0.1245954883119693,0.009691826446037017,7.986996355411447e-38,,,,,
frame_comparison,previous frame + 400 m floor,,13579.0,-0.1645320316088212,0.01586204292105469,3.301040709261848e-25,,,,,
frame_comparison,"revised frame, no floor",,25851.0,-0.13428786307364676,0.011314492276578969,1.7220350721600542e-32,,,,,
