check,city,q,beta,se,p,beta_int,p_int,beta_p1,block,share,pct_of_model_r2,model_r2,restriction,n,metric,boston,charlotte,denver,phoenix,portland,wasatch_front,equal_weight,term,n_treated_ac,moran_i,moran_p,sperr_beta,lambda,beta_full,beta_trimmed,cells_dropped,resid_skew,resid_kurtosis
quantile,boston,0.1,-0.01027415254867492,0.029339699643118635,0.7262073897903725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,boston,0.25,-0.01600052577826716,0.01657827816726189,0.3344797126420198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,boston,0.5,-0.06036827330226657,0.014742029009679967,4.2363826542528364e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,boston,0.75,-0.08426864581482363,0.017703697634021198,1.948098612584436e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,boston,0.9,-0.06163525192400243,0.021097054299260152,0.0034867450808619567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_interaction,boston,,,,,0.04021807634769719,0.0007032845226146827,-0.05090848098762876,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,denver,0.1,-0.41845058508822675,0.05408301209894753,1.3879805892798978e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,denver,0.25,-0.13408157786258101,0.03498286995174364,0.000129366101019667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,denver,0.5,-0.1448370944085582,0.027806682537445285,2.033171089553553e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,denver,0.75,-0.11419821515457329,0.027290652810387613,2.9417187585603565e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile,denver,0.9,-0.11424375919017393,0.028880221387653383,7.809338845609556e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_interaction,denver,,,,,0.19608609842382532,3.4851222273574337e-12,-0.2141049903078843,,,,,,,,,,,,,,,,,,,,,,,,,
lmg,,,,,,,,,configuration,0.0015157682347346675,0.2778908759851712,0.5454544807781136,,,,,,,,,,,,,,,,,,,,,
lmg,,,,,,,,,density and land use,0.0063922870554935325,1.1719194324656876,0.5454544807781136,,,,,,,,,,,,,,,,,,,,,
lmg,,,,,,,,,position and road type,0.06753767599043227,12.381908733078323,0.5454544807781136,,,,,,,,,,,,,,,,,,,,,
vintage,,,-0.12451252177651594,,8.690054592987869e-38,,,,,,,,all segments,37609.0,,,,,,,,,,,,,,,,,,,
