table,city,n,cells,beta,se,p,pct,lo,hi,routes,term,p1_per_sd_pct,p2_per_sd_pct,ratio,stratum,pct_p1
T3,boston,23246.0,1818.0,-0.049551473491148405,0.012590510174647995,8.298191723557503e-05,-4.834382818981164,-0.07422887343345848,-0.024874073548838336,,,,,,,
T3,charlotte,1702.0,565.0,-0.017788140633563407,0.0574205264536062,0.7567228321068029,-1.7630865584238542,-0.13033237248263158,0.09475609121550475,,,,,,,
T3,denver,2941.0,669.0,-0.24694688573604476,0.028744646679693887,8.617318989177148e-18,-21.881781565377388,-0.3032863932282448,-0.19060737824384474,,,,,,,
T3,phoenix,3912.0,1034.0,-0.17793470052636864,0.028824857699577627,6.702307107470163e-10,-16.300292282710938,-0.2344314216175408,-0.12143797943519649,,,,,,,
T3,portland,3450.0,639.0,-0.21804403694581223,0.02816708340252608,9.856508336714589e-15,-19.590996878225152,-0.27325152041476336,-0.1628365534768611,,,,,,,
T3,wasatch_front,2358.0,653.0,-0.15000948118749993,0.04231262889281164,0.0003922185878037742,-13.93001840699637,-0.23294223381741075,-0.06707672855758912,,,,,,,
T3,pooled + city FE,37609.0,5378.0,-0.12451252177651594,0.00969029117058554,8.690054592987869e-38,-11.70727945199782,,,,,,,,,
T3,"pooled, equal weights",37609.0,,-0.18131407502636643,,0.065,-16.582667546014772,-0.36262815005273286,0.0,,,,,,,
T5,boston,16601.0,,-0.01661211828180192,0.015173660940355244,0.27360443150992475,-1.6474897935816801,,,534.0,,,,,,
T5,charlotte,1079.0,,-0.02391076033971451,0.041171484777209805,0.5614020725358975,-2.36271629494631,,,87.0,,,,,,
T5,denver,1203.0,,-0.11527510326197196,0.03530651118109388,0.0010947125439359669,-10.887904009996241,,,205.0,,,,,,
T5,phoenix,3074.0,,-0.08948899127748455,0.03189181916929691,0.005015802392163729,-8.560166857360485,,,171.0,,,,,,
T5,portland,1968.0,,-0.11612388148719421,0.03354344206768332,0.0005363859523079297,-10.963508326488757,,,281.0,,,,,,
T5,wasatch_front,1472.0,,-0.08674250122230867,0.040232392861112236,0.031080827336691978,-8.308683074215406,,,145.0,,,,,,
T5,POOLED,25397.0,,-0.0537995473463772,0.012317355011781373,1.2551347524661803e-05,-5.237795918254317,,,1423.0,,,,,,
T7,,35879.0,,-0.1342594347018469,0.009937066233017048,1.3472871547399984e-41,,,,,p1,,,,,
T7,,35879.0,,0.23906694446632282,0.015869415455798182,2.766913514973263e-51,,,,,access_controlled,,,,,
T7,,35879.0,,0.09302264019811649,0.0036837530640939633,1.0729540265883148e-140,,,,,betw_z,,,,,
T7,,35879.0,,0.11878954509296337,0.037485195902167,0.0015297900746488527,,,,,p1:access_controlled,,,,,
T7,,35879.0,,0.003832393173341526,0.009708854543400803,0.6930408662645483,,,,,p1:betw_z,,,,,
P1vsP2,,37609.0,,,,,,,,,,-3.6826808888084317,-1.6807955079689019,2.191034466327577,,
P1count,,,,-0.03517265571122014,0.0028487714095876532,5.081064762309926e-35,-3.456128664081759,,,,,,,,,
strata,,18448.0,,-0.002088743454457164,,0.9170027439281236,,,,,,,,,<200 m,2.954249783174328
strata,,5582.0,,-0.10898758953494075,,3.525766041134734e-07,,,,,,,,,200–400,19.97491938373343
strata,,5050.0,,-0.10563767571532642,,1.26583900450098e-05,,,,,,,,,400–800,21.485148514851485
strata,,5265.0,,-0.23679209120345188,,1.4057509577318715e-20,,,,,,,,,800–1600,16.847103513770183
strata,,3264.0,,-0.19610019804792883,,3.677211855617821e-06,,,,,,,,,≥1600 m,8.823529411764707
