construction,controls,metric,n,beta_uncond,p_uncond,beta_cond,p_cond,p1_beta,p1_p,corr_whole_local,share_not_local
"cell level, WHOLE network (as regulated)",no job density,intersection density,18052.0,0.026869319622394364,0.002569597706532056,0.03450128264954173,0.00010339689864142508,-0.14393940677221023,6.640842123043771e-30,,
"cell level, WHOLE network (as regulated)",no job density,link–node ratio,18033.0,0.011387667506433233,0.1037907275756252,0.016333323892858315,0.019230913305313107,-0.14220849990065557,2.7390594345504606e-29,,
"cell level, WHOLE network (as regulated)",no job density,% four-way,17989.0,-0.008976128444831186,0.2235693196251214,-0.0031543627822001644,0.6680710039058277,-0.14032266533336032,1.56994005328678e-28,,
"cell level, WHOLE network (as regulated)",no job density,median block size,18679.0,-0.02001244522857319,0.00016047884289759529,-0.021360485227925014,5.254737118728714e-05,-0.13901335341125337,5.529590158295821e-28,,
"cell level, LOCAL subgraph only (the missing cell)",no job density,intersection density,18008.0,0.013278845164069141,0.08287870071393313,0.021307341505680314,0.0053245983617788714,-0.1435333952054077,1.1625169909046152e-29,,
"cell level, LOCAL subgraph only (the missing cell)",no job density,link–node ratio,18008.0,-0.00971236010280637,0.12322907509048132,-0.0027250725568769446,0.6655010828093395,-0.1396804998625689,3.88310875967631e-28,,
"cell level, LOCAL subgraph only (the missing cell)",no job density,% four-way,17770.0,-0.020935762882058204,0.0046344980311764945,-0.014173739001354983,0.054868095742467024,-0.13959099877183223,3.0118218337698554e-28,,
"catchment, local subgraph (our construction)",no job density,intersection density,18684.0,0.012279644267573633,0.09204442998419042,0.025261186917452324,0.0005848064792647096,-0.14464366594549855,1.902486504301104e-29,,
"catchment, local subgraph (our construction)",no job density,link–node ratio,18132.0,-0.009953495133821703,0.07695013654539103,-0.0017212576800561066,0.7609063277201003,-0.13909133442604987,1.1151360393902002e-27,,
"catchment, local subgraph (our construction)",no job density,street density,18684.0,0.02010579735943483,0.011741359383333807,0.03665309781424323,5.577524746302084e-06,-0.14816436405127592,1.3260509919208652e-30,,
"catchment, local subgraph (our construction)",no job density,dead-end share,18133.0,0.011932727529158419,0.03153407002812758,0.004918769714261731,0.37683585204271974,-0.1383103424756646,1.6646601461291038e-27,,
"catchment, local subgraph (our construction)",no job density,circuity,18121.0,-0.0033500934709553448,0.5434912557241179,-0.006839025058290785,0.21386219264995687,-0.14076996886430432,1.0025850629397372e-28,,
"cell level, WHOLE network (as regulated)",job density controlled,intersection density,18052.0,0.02520848851954404,0.00467545156269518,0.032899084288657336,0.00021495261188626979,-0.14230127898339442,2.93121284855775e-29,,
"cell level, WHOLE network (as regulated)",job density controlled,link–node ratio,18033.0,0.00717341017130776,0.30977923844158184,0.01247351309194365,0.07657958947510222,-0.14032183416115712,1.5243552608986117e-28,,
"cell level, WHOLE network (as regulated)",job density controlled,% four-way,17989.0,-0.014160991048136019,0.057226907434861696,-0.007940974527399227,0.2854407947467049,-0.13814624267587355,1.0984754797556768e-27,,
"cell level, WHOLE network (as regulated)",job density controlled,median block size,18679.0,-0.02001586622440493,0.00015822054047714244,-0.021350548085226757,5.240223022986447e-05,-0.13757536988773886,1.9239516343526232e-27,,
"cell level, LOCAL subgraph only (the missing cell)",job density controlled,intersection density,18008.0,0.018343290768955776,0.017516721236868295,0.02612838136869749,0.0007006164813050256,-0.1425983067184282,2.580677335646464e-29,,
"cell level, LOCAL subgraph only (the missing cell)",job density controlled,link–node ratio,18008.0,-0.007399935669867762,0.241535223379571,-0.0005864591197773683,0.9260663789697205,-0.13858774404575236,9.81661557829562e-28,,
"cell level, LOCAL subgraph only (the missing cell)",job density controlled,% four-way,17770.0,-0.02262749930955017,0.0022125101188674302,-0.015815785147709555,0.032247010681667104,-0.137794313400665,1.4614042685276512e-27,,
"catchment, local subgraph (our construction)",job density controlled,intersection density,18684.0,0.018930824703723464,0.010657218708303216,0.03195341341103549,1.884152516180182e-05,-0.1447769708453547,1.606515281826e-29,,
"catchment, local subgraph (our construction)",job density controlled,link–node ratio,18132.0,-0.006834450490532757,0.2281603241001181,0.001268123980215206,0.823904673408787,-0.13846563159959896,1.8367360213987476e-27,,
"catchment, local subgraph (our construction)",job density controlled,street density,18684.0,0.027333052073241413,0.0007448651713757408,0.04399727809928105,7.904055135055881e-08,-0.14849770863977402,9.276009404844148e-31,,
"catchment, local subgraph (our construction)",job density controlled,dead-end share,18133.0,0.00999632038313962,0.07239954328564656,0.003128367420887589,0.5750272045412138,-0.1372842218249153,3.9149544469471486e-27,,
"catchment, local subgraph (our construction)",job density controlled,circuity,18121.0,-0.0029031338529419593,0.5983747186982951,-0.006386001705029528,0.24561475323244997,-0.1392043808720686,3.9846522170523367e-28,,
decomposition,,intersection density,,,,,,,,0.8309531250895331,0.47855634405309755
decomposition,,link–node ratio,,,,,,,,0.4743396665117409,0.2525944653543092
decomposition,,% four-way,,,,,,,,0.8146582123219602,0.24197408806994058
