city,set,n,median_len_m,pct_p1,pct_access_controlled,median_dist_cbd_km
boston,independent,1089,82.71846006292182,3.1221303948576673,2.295684113865932,33.5305423563462
boston,full,24774,110.3509794284212,6.5956244449826436,2.373456042625333,28.83484444531514
charlotte,independent,243,433.69366180881093,6.584362139917696,6.995884773662551,17.161945147321127
charlotte,full,1726,591.6616441621488,10.254924681344148,6.778679026651218,13.486837643827553
denver,independent,317,318.3885829473739,12.933753943217665,30.5993690851735,16.803395899767576
denver,full,2964,684.0603796372253,21.524966261808366,30.16194331983806,13.450340170269946
phoenix,independent,491,397.96360390346365,7.535641547861507,10.386965376782078,24.7282508293445
phoenix,full,3941,805.290640240118,12.61101243339254,9.972088302461305,22.719884723683393
portland,independent,302,337.7191881198017,11.258278145695364,1.6556291390728477,17.396231118976473
portland,full,3478,600.8686494767711,20.385278895917196,0.690051753881541,15.822236043959878
wasatch_front,independent,289,457.13014697778766,7.958477508650519,11.072664359861593,33.201596163095715
wasatch_front,full,2372,818.251074133383,14.123102866779089,10.286677908937605,23.98237974556661
