table,n_units,n_after_floor,n_model,cells,routes,boston_share,city,n,pct_p1,beta,se,p,pct,lo,hi,n_draws,t,variable,mean_treated,mean_untreated,within_route_diff,smd_within_route,term,p1_per_sd_pct,p2_per_sd_pct,beta_p1,p_p1,beta_p2,p_p2,median_aadt,veh_per_day,median_aadt_per_lane,lane_equivalents
sample,27191.0,19022.0,18684.0,5369.0,5136.0,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_primary,,,,1795.0,,,boston,6783.0,13.047324192835028,-0.04739343198788,0.021717977459372144,0.029093207480196677,-4.62878970797691,-0.0899606678082494,-0.0048261961675106005,,,,,,,,,,,,,,,,,,
T_primary,,,,568.0,,,charlotte,1339.0,9.036594473487677,-0.059053253208448515,0.04867005398805821,0.22500040615075956,-5.734343166629463,-0.15444655902504262,0.03634005260814558,,,,,,,,,,,,,,,,,,
T_primary,,,,665.0,,,denver,2429.0,24.6191848497324,-0.24612855824263766,0.03018000053655714,3.481614326071444e-16,-21.81782911604143,-0.3052813592942897,-0.18697575719098566,,,,,,,,,,,,,,,,,,
T_primary,,,,1031.0,,,phoenix,3213.0,15.655150949268595,-0.14691066357384275,0.02841150810829021,2.330747298541665e-07,-13.662889553993917,-0.20259721946609155,-0.09122410768159395,,,,,,,,,,,,,,,,,,
T_primary,,,,630.0,,,portland,2515.0,22.624254473161034,-0.18272709546427707,0.030697527099345947,2.640736959064014e-09,-16.700454704219226,-0.2428942485789951,-0.12255994234955901,,,,,,,,,,,,,,,,,,
T_primary,,,,680.0,,,wasatch_front,2405.0,15.093555093555095,-0.12205383130463084,0.04149422699072091,0.003266633768086279,-11.489927890636864,-0.20338251620644382,-0.04072514640281785,,,,,,,,,,,,,,,,,,
T_primary,,,,,,,pooled + city FE,18684.0,,-0.13625577892473084,0.012676469402163396,6.009180090972355e-27,-12.738059371178212,,,,,,,,,,,,,,,,,,,,
T_primary,,,,,,,"pooled, equal weights",18684.0,,-0.17178057963952142,,0.03125,-15.783605918765787,,,32.0,13.001061890261953,,,,,,,,,,,,,,,,
T_corridor,,,,,317.0,,boston,3221.0,,-0.02245802274598775,0.02300740455162239,0.32975089982401196,-2.2207718633164397,,,,,,,,,,,,,,,,,,,,
T_corridor,,,,,70.0,,charlotte,660.0,,-0.019724829233676716,0.03919098996758083,0.616356252164872,-1.9531567559950225,,,,,,,,,,,,,,,,,,,,
T_corridor,,,,,186.0,,denver,1065.0,,-0.059564652815328314,0.025041922770788514,0.018397121981595932,-5.782538261949544,,,,,,,,,,,,,,,,,,,,
T_corridor,,,,,171.0,,phoenix,2617.0,,-0.06496617194221543,0.029684391897340547,0.029992304372897793,-6.290083691413062,,,,,,,,,,,,,,,,,,,,
T_corridor,,,,,210.0,,portland,1333.0,,-0.045486350030566336,0.029308155308193834,0.12217439847703226,-4.446735452565975,,,,,,,,,,,,,,,,,,,,
T_corridor,,,,,151.0,,wasatch_front,1571.0,,-0.058649451213999004,0.03321178091639384,0.07944316898080461,-5.696270820064653,,,,,,,,,,,,,,,,,,,,
T_corridor,,,,,1105.0,,POOLED,10467.0,,-0.05112719508674067,0.012838143077706603,7.267477934846944e-05,-4.984219255874056,,,,,,,,,,,,,,,,,,,,
T_balance,,,,,,,,,,,,,,,,,,population density (/km²),2116.738589838207,1509.2104159956232,258.208021680076,0.277294774397761,,,,,,,,,,,
T_balance,,,,,,,,,,,,,,,,,,job density (/km²),1144.1879718847833,978.9216716449841,7.16205604531732,0.004261584560436033,,,,,,,,,,,
T_balance,,,,,,,,,,,,,,,,,,median year built,1973.995873020258,1979.3886529151937,-2.5887197906128874,-0.32163689298547565,,,,,,,,,,,
T_balance,,,,,,,,,,,,,,,,,,distance to CBD (km),19.78004198838865,23.840227200538898,-0.6123752313065324,-0.10078181636293626,,,,,,,,,,,
T_balance,,,,,,,,,,,,,,,,,,through lanes,2.955535390199637,3.2629795473798864,-0.05430898352694323,-0.07133755841246088,,,,,,,,,,,
T_balance,,,,,,,,,,,,,,,,,,segment length (m),852.9133095790518,907.1237109405731,-84.53855422813729,-0.23522195346680788,,,,,,,,,,,
T_moderation,,,,,,,,14765.0,,-0.1516521909545343,0.01431107144515785,3.0820616055432155e-26,,,,,,,,,,,p1,,,,,,,,,,
T_moderation,,,,,,,,14765.0,,0.2381154316129526,0.025392106818891876,6.7531518363305175e-21,,,,,,,,,,,access_controlled,,,,,,,,,,
T_moderation,,,,,,,,14765.0,,0.09526484519562843,0.005999430320390661,8.860496452773446e-57,,,,,,,,,,,betw_z,,,,,,,,,,
T_moderation,,,,,,,,14765.0,,0.04906356011172136,0.051108625132424416,0.33706230528397185,,,,,,,,,,,p1:access_controlled,,,,,,,,,,
T_moderation,,,,,,,,14765.0,,-0.0038525106055313754,0.013491501631911974,0.7752221044709116,,,,,,,,,,,p1:betw_z,,,,,,,,,,
P1vsP2,,,,,,,,18684.0,,,,,,,,,,,,,,,,-4.912548744194078,0.11592770675072916,-0.13649479113804497,1.790289596725448e-26,0.0011586056247230051,0.8996205464198352,,,,
P1count,,,,,,,,,,-0.05143993588805831,0.004680347739436878,4.239909111823171e-28,-5.013929921171001,,,,,,,,,,,,,,,,,,,,
vehicles,,,,,,,boston,,,-0.04739343198788,,,,,,,,,,,,,,,,,,,,9500.0,-439.73502225780646,,
vehicles,,,,,,,charlotte,,,-0.059053253208448515,,,,,,,,,,,,,,,,,,,,18000.0,-1032.1817699933033,,
vehicles,,,,,,,denver,,,-0.24612855824263766,,,,,,,,,,,,,,,,,,,,12735.29411764706,-2778.564708013512,,
vehicles,,,,,,,phoenix,,,-0.14691066357384275,,,,,,,,,,,,,,,,,,,,19443.539837398373,-2656.5493733705484,,
vehicles,,,,,,,portland,,,-0.18272709546427707,,,,,,,,,,,,,,,,,,,,7800.0,-1302.6354669290995,,
vehicles,,,,,,,wasatch_front,,,-0.12205383130463084,,,,,,,,,,,,,,,,,,,,12193.417596034697,-1401.0148891886136,,
vehicles,,,,,,,pooled,,,-0.13625577892473084,,,,,,,,,,,,,,,,,,,,11836.183000000008,-1507.7000178213034,4600.0,0.3277608734394138
