city,study_cell,control_cell,study_log_aadt,control_log_aadt,study_index,control_index
boston,c031_040,c034_041,8.893184032210083,9.22840922022228,2.9924146725983367,1.5630765353832674
boston,c034_037,c031_038,8.861223481211313,9.59991173561223,2.376500931846828,2.1981298974312273
boston,c030_042,c032_040,8.733810651322102,9.582110918161916,2.9702067943362485,1.9413106208302968
boston,c033_044,c029_039,8.722888345792063,9.460889697391904,2.790022522075045,1.9133026077674296
boston,c034_036,c030_041,8.852752738474766,9.550297647939301,2.3348310182546257,2.0966595710965765
boston,c034_042,c032_042,9.392060184547422,9.762370588598737,3.0944446708572393,2.1232379957249514
boston,c033_037,c015_056,9.519450139336712,9.019736372728277,2.988374236112605,1.6962733944161308
boston,c016_057,c032_037,8.752842453982337,9.014539545178856,3.166280495993888,1.6964768881352685
boston,c031_045,c029_043,8.917303806284867,9.27086991158371,2.478179072376199,1.7910914663801303
boston,c031_043,c027_039,9.743708325304816,9.3195030386664,2.3304513351847373,2.010050740305672
boston,c033_035,c036_049,9.581535044120141,9.229430093347398,2.5199097008687965,1.8237031776634411
boston,c015_057,c034_045,9.147896426014249,8.740879044424311,2.7944410542058566,1.5829753694311635
boston,c035_039,c030_040,9.272525076187492,9.95547245214265,2.7282228189558997,1.450884558227837
boston,c028_043,c032_033,9.437675990808767,9.014036718870607,2.478103516415232,1.4934280735338437
boston,c027_040,c032_044,9.275745678722139,9.150464538208736,2.6128582856717246,1.114423466044608
boston,c035_045,c028_039,9.861992195787263,9.244221726830725,2.298019793808073,1.0395313133476378
boston,c015_055,c025_038,8.5366474604091,8.502373212773287,2.4356542963596275,0.786349802558641
boston,c037_035,c027_043,8.629323518030374,9.093981834868684,3.423474223322269,1.7914869951291283
boston,c021_062,c041_022,9.378742498282259,9.19650073824138,2.317270324077428,0.7075658097677493
charlotte,c013_020,c009_020,9.789522417988092,10.543836886220797,1.6609494701009473,0.8679232385306004
charlotte,c015_018,c017_019,9.964539293628192,9.922778099025113,1.5835940512005546,-0.4321759967907861
charlotte,c013_021,c012_017,9.063009103682006,10.306610044650393,2.366925850206975,1.0464236426669453
charlotte,c013_019,c017_020,9.945216481989595,9.941978769910719,2.064894593578435,-0.38147733841889714
charlotte,c014_019,c013_016,9.722996756757958,10.214733247830228,2.5565822521931656,0.8413792812316594
charlotte,c013_023,c018_019,10.072805557412329,10.485402235172668,1.2373818643352648,0.31884820017046983
charlotte,c015_019,c019_018,9.840628956954765,9.1646447016016,2.756661177569388,0.2583027901871592
charlotte,c015_015,c018_020,10.192539780312876,10.162884449243712,1.3060907563884383,0.590550577085041
charlotte,c033_006,c017_022,8.887806643086568,9.704906352722531,3.8929649170719367,0.7594241911760726
charlotte,c016_022,c019_020,9.909698812535407,10.298851306985533,1.805550474140414,0.15218365512097157
charlotte,c015_021,c010_020,9.802619606636092,10.272040098141174,2.7713207693886863,0.11438835132924485
charlotte,c013_022,c012_021,8.411832675758411,9.418569004200256,1.2240844220565572,0.5129482682100402
charlotte,c016_021,c014_016,9.627394267685647,10.120216963367238,2.147640690692786,0.6892160865551452
charlotte,c008_020,c019_019,9.730222607460169,10.617978312564732,2.089783259197636,0.26210608078096026
charlotte,c012_045,c011_023,8.942587595132865,9.880973446622617,1.8193546407227765,-0.09936963538641848
charlotte,c033_007,c021_020,10.479350791415026,10.20576672094508,1.5639101506152124,0.6748572232287592
charlotte,c015_022,c016_024,9.940761051862893,10.423581736801324,1.2182706281000784,0.02842149839141558
charlotte,c011_020,c022_014,10.340032777296992,9.835952874545834,1.5290724146811916,0.5197843734006371
charlotte,c014_022,c009_021,9.579279773840534,8.797064343872712,1.4992962336119942,-1.759135622651798
charlotte,c011_033,c020_022,9.966338254717657,9.988502000933629,1.28703359521861,0.40836474806950906
charlotte,c018_027,c019_027,10.165851817003619,10.165851817003619,1.8255114657059908,0.3146757179192304
charlotte,c018_026,c010_014,10.295422513773497,10.26125745878038,1.2838719915386005,0.7829039424682918
charlotte,c013_018,c021_011,10.00945013874029,9.769956159911606,1.3268836754119522,-1.8081209199821635
charlotte,c012_029,c010_022,10.5849045267307,9.918501932578884,1.277209986386728,-0.22877477017274767
charlotte,c011_014,c021_018,10.308952660644293,9.919750940592605,1.304355879676743,-1.5584442875611189
charlotte,c017_027,c010_024,10.515098000102897,9.942851449635226,1.4407222961086221,-1.0894541841592553
charlotte,c010_017,c015_026,10.00005302781706,9.278856932947237,1.69984742026824,-0.835200768741153
charlotte,c018_025,c016_017,10.442754845285997,10.19019274521016,1.324924919846691,0.4738191223430842
charlotte,c016_016,c021_017,10.132683330195087,9.818488924525825,1.2930789720388935,-1.446696286903387
charlotte,c008_015,c012_046,10.44595718163658,8.905309961870458,1.4915271046938854,-0.14131966364163265
charlotte,c015_008,c031_008,9.963709020669425,10.309646623281717,1.1727179827740892,-1.700937813103438
charlotte,c025_022,c025_018,10.085809109330082,9.489249674988672,1.549363348807506,-0.27302836930648
charlotte,c012_033,c027_013,9.483701198841175,9.380276479676194,1.3088430496109862,0.5266086322300064
charlotte,c008_045,c017_012,10.155181158565595,9.73673532839721,1.9321876292638915,-0.8884049379642625
charlotte,c032_006,c022_010,9.027006660865155,9.663999338541686,1.3440866993346043,-1.4025356381483858
denver,c015_020,c016_015,8.570353970123948,9.553258455572958,5.608127365812921,2.5402410400288753
denver,c018_019,c013_020,9.904994247095173,9.154121916632802,5.534804548976241,2.3567033382353832
denver,c014_016,c013_018,8.78636333977928,8.99308047512642,4.830453333226761,2.9624728084783087
denver,c011_016,c012_018,8.814903420477377,10.017791883983692,3.8752192743480403,3.3997580779854344
denver,c013_022,c014_021,8.938057030627355,8.112119786985566,4.453275699846827,2.5912395928836616
denver,c019_019,c014_022,9.314723367757164,8.109045237713675,4.808996304069776,1.8373254952302236
denver,c016_019,c016_022,9.44259533101296,9.013756880674897,4.614881467095806,3.3013899022743507
denver,c012_022,c015_022,9.589100908218828,9.827869893270568,3.8659214550099095,1.5996548736309864
denver,c011_018,c011_019,9.179931272863495,8.70467487630539,4.592195065118763,2.020166418466376
denver,c011_015,c020_020,8.639168186331323,7.003065458786462,3.8596918212503537,2.97260772505872
denver,c015_021,c017_016,8.231659054989175,9.270362880452607,5.09161176892867,2.1887225690638736
denver,c014_015,c019_022,9.984189536129932,10.571316925111784,6.246003459956504,2.720734918653607
denver,c012_017,c016_016,9.192866288738244,9.335055067780557,4.299183652594218,3.0759202549305686
denver,c013_013,c019_020,8.653127998427047,9.65222414206048,4.457267479126773,3.488778523607578
denver,c011_021,c010_019,9.014341729353262,8.81820060168162,5.043966688648983,1.0690149340927868
denver,c018_021,c021_018,8.574282663932545,9.074719509365542,3.8148806174897603,2.5856004712061007
denver,c017_020,c012_016,9.66220861021453,9.088440493225937,6.092767485704329,2.6880516615655217
denver,c021_019,c017_015,9.612260362469584,9.791718567558423,5.302092647030132,2.0235149545748996
denver,c016_018,c016_017,9.195479207978533,9.886413553893032,5.594581579325547,2.9302143433250314
denver,c017_019,c016_020,9.694513031177046,9.267114016306468,5.304392768252748,3.351842375986577
denver,c016_021,c018_023,8.91305200763119,9.643890615817874,4.750756443596539,0.23898858566400213
denver,c018_018,c014_014,9.985055010986773,8.836566108002247,4.76880096697096,3.528513652196402
denver,c015_016,c019_018,8.802036506213529,9.392661928770137,5.5044599791273,2.4504174700452577
denver,c017_017,c010_020,9.745238690762163,9.221655908007204,4.095380193710836,2.878771252315884
denver,c015_018,c013_019,10.69346187816252,9.599336711649395,4.118707380563772,3.324755455138221
denver,c012_021,c021_016,8.87442869773488,8.868540801180371,4.01485638348877,2.17984395168814
denver,c011_020,c009_024,9.97267836544108,8.929892932944258,4.1700537731784095,1.4034415282706203
denver,c017_018,c012_023,8.638297015256283,8.903309343552179,4.6182423641268215,3.0769917857042675
denver,c013_014,c022_019,9.049481227495242,10.691944912900398,4.15117348686079,2.150780901403489
denver,c013_012,c007_023,7.677174555814333,8.332023862512155,5.4795590683501025,-0.6912406930053345
denver,c015_017,c023_011,9.540974700152704,10.102419013840976,3.8906492424470116,1.4205377790541371
phoenix,c020_028,c018_028,10.22692659341344,9.955723858152409,3.213886532983142,0.9790557852247781
phoenix,c018_032,c020_042,9.118519278539512,9.123668870741376,2.6170289543238265,0.534054932768654
phoenix,c019_027,c022_027,9.793470581328819,9.801611364274299,3.2842019890543375,1.8145430238023579
phoenix,c021_028,c014_031,9.064871275985753,10.423485274796683,3.3787588852478856,0.92563445756971
phoenix,c019_028,c015_029,9.573121280510724,10.231861611284286,3.9396589091381804,0.5572774969682387
phoenix,c018_027,c028_023,9.343077774110744,10.157009014121678,4.239774117138333,1.002048142282183
