table,frame,floor,n,beta_interaction,p,term,beta,se,city,n_treated_ac,block,share,pct_of_model_r2,model_r2,stratum,pct_p1
rq2_decomposition,previous (AADT in the key),0.0,35879.0,0.11877959250684379,0.0015317671769452881,,,,,,,,,,,
rq2_decomposition,previous + 400 m floor,400.0,12916.0,0.10298524268307425,0.07173460719857573,,,,,,,,,,,
rq2_decomposition,"exogenous, no floor",0.0,21202.0,0.054800672175049456,0.22962972780480528,,,,,,,,,,,
rq2_decomposition,exogenous + 400 m floor [PRIMARY],400.0,14765.0,0.04906356011172136,0.33706230528397185,,,,,,,,,,,
T_moderation_v2,,,14765.0,,3.0820616055432155e-26,p1,-0.1516521909545343,0.01431107144515785,,,,,,,,
T_moderation_v2,,,14765.0,,6.7531518363305175e-21,access_controlled,0.2381154316129526,0.025392106818891876,,,,,,,,
T_moderation_v2,,,14765.0,,8.860496452773446e-57,betw_z,0.09526484519562843,0.005999430320390661,,,,,,,,
T_moderation_v2,,,14765.0,,0.33706230528397185,p1:access_controlled,0.04906356011172136,0.051108625132424416,,,,,,,,
T_moderation_v2,,,14765.0,,0.7752221044709116,p1:betw_z,-0.0038525106055313754,0.013491501631911974,,,,,,,,
moderation_percity_v2,,,,,0.2941763451309761,,-0.14290240915000163,,boston,20.0,,,,,,
moderation_percity_v2,,,,,0.28054508368988296,,0.34471674045481177,,charlotte,3.0,,,,,,
moderation_percity_v2,,,,,1.773940205709739e-05,,0.3119066568575886,,denver,114.0,,,,,,
moderation_percity_v2,,,,,0.33966478934767785,,0.11003913512875954,,phoenix,36.0,,,,,,
moderation_percity_v2,,,,,0.3479300352081487,,-0.23600531554537701,,wasatch_front,8.0,,,,,,
rq3_lmg,,,,,,,,,,,configuration,0.002158167756099986,0.36330258929229386,0.5940413913107675,,
rq3_lmg,,,,,,,,,,,density and land use,0.013593782304555416,2.288356081477822,0.5940413913107675,,
rq3_lmg,,,,,,,,,,,position and road type,0.06872374621669818,11.568848100812888,0.5940413913107675,,
strata_v2,,,2897.0,,0.004953507585889864,,-0.09415219759515973,0.03350562248773071,,,,,,,400–600 m,19.882637210907834
strata_v2,,,6151.0,,5.283594506225343e-09,,-0.12096869939405881,0.020720968193666207,,,,,,,600–800,16.826532271175417
strata_v2,,,5760.0,,1.2542029061878549e-11,,-0.15330257541187844,0.0226316072861097,,,,,,,800–1200,16.57986111111111
strata_v2,,,3876.0,,7.233066187072449e-14,,-0.252079675634115,0.033684417305525786,,,,,,,≥1200 m,12.20330237358101
