check,spec,family,n,beta,se,p,pct,definition,n_treated,smd_pop_density_km2,smd_lu_entropy,smd_dist_cbd_km_c,smd_length_m,smd_local_int_density,smd_through_lanes,pct_treated,city,beta_count,beta_binary,pct_p1,spearman
spec_curve,"primary (full controls, city FE)",controls,37609.0,-0.12451252177651594,0.00969029117058554,8.690054592987869e-38,-11.70727945199782,,,,,,,,,,,,,,
spec_curve,drop through lanes (post-treatment),controls,37609.0,-0.13388605477194856,0.009977164100015161,4.664123770586242e-41,-12.531027435446095,,,,,,,,,,,,,,
spec_curve,drop lanes and functional class,controls,37609.0,-0.35759869663824967,0.01386101928791726,9.128739684667655e-147,-30.064632831993656,,,,,,,,,,,,,,
spec_curve,add log segment length,controls,37609.0,-0.11405191917718172,0.009784351182274921,2.1244265013658405e-31,-10.778836821393,,,,,,,,,,,,,,
spec_curve,"controls only, no city FE",controls,37609.0,-0.12086214962345407,0.009735338826432226,2.172666031225019e-35,-11.384389187324473,,,,,,,,,,,,,,
spec_curve,Choi–Ewing-eligible cells only,sample,34869.0,-0.12244531853819407,0.009837450354772683,1.4546494326423458e-35,-11.524571672167882,,,,,,,,,,,,,,
spec_curve,segments ≥ 500 m,sample,11896.0,-0.18865087607216444,0.017097083158492284,2.616663712540064e-28,-17.19244427743475,,,,,,,,,,,,,,
spec_curve,excluding Boston,sample,14363.0,-0.19800643699651024,0.015288350110030645,2.3053110433590613e-38,-17.963542756305483,,,,,,,,,,,,,,
spec_curve,excluding Charlotte,sample,35907.0,-0.12494177123468579,0.00969645629441296,5.446163798659694e-38,-11.74517092142523,,,,,,,,,,,,,,
spec_curve,equal city weights,weighting,37609.0,-0.18131407502636643,0.010617385425178899,,-16.582667546014772,,,,,,,,,,,,,,
spec_curve,corridor fixed effects,identification,25397.0,-0.0537995473463772,0.012317355011781373,1.2551347524661803e-05,-5.237795918254317,,,,,,,,,,,,,,
spec_curve,AADT-free units,unit/frame,25851.0,-0.1351215818672522,0.01131017947643716,6.739251399304628e-33,-12.639030986651822,,,,,,,,,,,,,,
spec_curve,one-way admitted,unit/frame,39715.0,-0.11936917451861039,0.009596915633062288,1.6194309447869626e-35,-11.25198947633741,,,,,,,,,,,,,,
balance,,,,,,,,primary (P1 = 1),3920.0,0.34976371815974433,0.05415906957707458,-0.29248407154748274,0.23249745959250762,0.7041557885986477,-0.015160499428827957,,,,,,
balance,,,,,,,,endpoint radius 100 m,2239.0,0.4872200080532204,0.009495768956016327,-0.32306901887655126,-0.02546089385754913,0.8091417003498411,-0.24649614538839545,5.953362227126486,,,,,
balance,,,,,,,,endpoint radius 300 m,4454.0,0.2614587047328492,0.049842768161008986,-0.26885403612799935,0.4740309801213109,0.6798907295580527,0.1462658737416578,11.842909941769257,,,,,
balance,,,,,,,,route may use major roads,6884.0,0.4147938677236116,0.10012007660172925,-0.35653156643474004,0.6283252922112217,0.6065317583691437,0.12180941708306384,18.3041293307453,,,,,
balance,,,,,,,,no detour cap,8994.0,0.4862903809885437,0.025434987150420748,-0.34857657776930057,-0.09758177028717305,0.9434183953993328,-0.05824029137697278,23.914488553271823,,,,,
dose,,,,,0.008709483588346379,7.746014715111854e-08,,,,,,,,,,,boston,-0.04679559280757559,-0.049551473491148405,6.745246494020477,
dose,,,,,0.04452879837326108,0.9179783951819511,,,,,,,,,,,charlotte,-0.004585600850923479,-0.017788140633563407,10.399529964747355,
dose,,,,,0.016827857594639308,3.169210675469199e-26,,,,,,,,,,,denver,-0.17827828026114684,-0.24694688573604476,21.625297517851074,
dose,,,,,0.020457619028226355,2.808979379997829e-11,,,,,,,,,,,phoenix,-0.1361710733253795,-0.17793470052636864,12.704498977505112,
dose,,,,,0.016499351297249998,4.620062383252283e-12,,,,,,,,,,,portland,-0.11412247670068054,-0.21804403694581223,20.55072463768116,
dose,,,,,0.029697651707803852,0.001404366670276263,,,,,,,,,,,wasatch_front,-0.09484693691861548,-0.15000948118749993,14.122137404580155,
dose_across_cities,,,6.0,,,0.01884548104956266,,,,,,,,,,,,,,,-0.8857142857142858
